날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-26,비철금속,구리,Copper,6.6955,USD/Lbs,1359.0,네이버 금융 (하나은행 고시환율),원/kg,20060,14042,16048
2026-09-26,철·스크랩,철·철스크랩,Steel Scrap,402.0,USD/T,1359.0,네이버 금융 (하나은행 고시환율),원/kg,546,382,437
2026-09-26,비철금속,알루미늄,Aluminum,3281.5,USD/T,1359.0,네이버 금융 (하나은행 고시환율),원/kg,4460,3122,3568
2026-09-26,비철금속,아연,Zinc,3905.9,USD/T,1359.0,네이버 금융 (하나은행 고시환율),원/kg,5308,3716,4246
2026-09-26,비철금속,주석,Tin,54010.0,USD/T,1359.0,네이버 금융 (하나은행 고시환율),원/kg,73400,51380,58720
2026-09-26,비철금속,납,Lead,1942.18,USD/T,1359.0,네이버 금융 (하나은행 고시환율),원/kg,2639,1848,2112
2026-09-26,귀금속,금,Gold,4285.0,USD/t.oz,1359.0,네이버 금융 (하나은행 고시환율),원/g,187224,131057,149779
2026-09-26,귀금속,은,Silver,64.2585,USD/t.oz,1359.0,네이버 금융 (하나은행 고시환율),원/g,2808,1965,2246
2026-09-26,PGM (백금족),백금,Platinum,1777.6,USD/t.oz,1359.0,네이버 금융 (하나은행 고시환율),원/g,77668,54368,62135
2026-09-26,PGM (백금족),팔라듐,Palladium,1276.0,USD/t.oz,1359.0,네이버 금융 (하나은행 고시환율),원/g,55752,39026,44602
2026-09-26,PGM (백금족),로듐,Rhodium,9450.0,USD/t.oz,1359.0,네이버 금융 (하나은행 고시환율),원/g,412898,289028,330318
