날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-16,비철금속,구리,Copper,6.3883,USD/Lbs,1371.0,네이버 금융 (하나은행 고시환율),원/kg,19309,13516,15447
2026-09-16,철·스크랩,철·철스크랩,Steel Scrap,401.53,USD/T,1371.0,네이버 금융 (하나은행 고시환율),원/kg,550,385,440
2026-09-16,비철금속,알루미늄,Aluminum,3252.8999,USD/T,1371.0,네이버 금융 (하나은행 고시환율),원/kg,4460,3122,3568
2026-09-16,비철금속,납,Lead,1877.15,USD/T,1371.0,네이버 금융 (하나은행 고시환율),원/kg,2574,1802,2059
2026-09-16,귀금속,금,Gold,4287.85,USD/t.oz,1371.0,네이버 금융 (하나은행 고시환율),원/g,189003,132302,151202
2026-09-16,귀금속,은,Silver,63.764,USD/t.oz,1371.0,네이버 금융 (하나은행 고시환율),원/g,2811,1967,2249
2026-09-16,PGM (백금족),백금,Platinum,1783.9,USD/t.oz,1371.0,네이버 금융 (하나은행 고시환율),원/g,78632,55042,62906
2026-09-16,PGM (백금족),팔라듐,Palladium,1314.5,USD/t.oz,1371.0,네이버 금융 (하나은행 고시환율),원/g,57941,40559,46353
2026-09-16,PGM (백금족),로듐,Rhodium,9550.0,USD/t.oz,1371.0,네이버 금융 (하나은행 고시환율),원/g,420951,294666,336761
