날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-09,비철금속,구리,Copper,6.6549,USD/Lbs,1338.1,네이버 금융 (하나은행 고시환율),원/kg,19632,13742,15706
2026-09-09,철·스크랩,철·철스크랩,Steel Scrap,403.5,USD/T,1338.1,네이버 금융 (하나은행 고시환율),원/kg,540,378,432
2026-09-09,비철금속,알루미늄,Aluminum,3337.23,USD/T,1338.1,네이버 금융 (하나은행 고시환율),원/kg,4466,3126,3572
2026-09-09,비철금속,납,Lead,1915.7,USD/T,1338.1,네이버 금융 (하나은행 고시환율),원/kg,2563,1794,2051
2026-09-09,귀금속,금,Gold,4371.69,USD/t.oz,1338.1,네이버 금융 (하나은행 고시환율),원/g,188074,131652,150459
2026-09-09,귀금속,은,Silver,66.85,USD/t.oz,1338.1,네이버 금융 (하나은행 고시환율),원/g,2876,2013,2301
2026-09-09,PGM (백금족),백금,Platinum,1835.2,USD/t.oz,1338.1,네이버 금융 (하나은행 고시환율),원/g,78952,55266,63162
2026-09-09,PGM (백금족),팔라듐,Palladium,1358.0,USD/t.oz,1338.1,네이버 금융 (하나은행 고시환율),원/g,58422,40896,46738
2026-09-09,PGM (백금족),로듐,Rhodium,9575.0,USD/t.oz,1338.1,네이버 금융 (하나은행 고시환율),원/g,411925,288348,329540
