날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-23,비철금속,구리,Copper,6.7803,USD/Lbs,1348.0,네이버 금융 (하나은행 고시환율),원/kg,20150,14105,16120
2026-09-23,철·스크랩,철·철스크랩,Steel Scrap,404.0,USD/T,1348.0,네이버 금융 (하나은행 고시환율),원/kg,545,381,436
2026-09-23,비철금속,알루미늄,Aluminum,3261.4,USD/T,1348.0,네이버 금융 (하나은행 고시환율),원/kg,4396,3077,3517
2026-09-23,비철금속,아연,Zinc,3907.95,USD/T,1348.0,네이버 금융 (하나은행 고시환율),원/kg,5268,3688,4214
2026-09-23,비철금속,주석,Tin,53944.0,USD/T,1348.0,네이버 금융 (하나은행 고시환율),원/kg,72717,50902,58173
2026-09-23,비철금속,납,Lead,1938.15,USD/T,1348.0,네이버 금융 (하나은행 고시환율),원/kg,2613,1829,2090
2026-09-23,귀금속,금,Gold,4345.08,USD/t.oz,1348.0,네이버 금융 (하나은행 고시환율),원/g,188312,131819,150650
2026-09-23,귀금속,은,Silver,66.764,USD/t.oz,1348.0,네이버 금융 (하나은행 고시환율),원/g,2893,2025,2315
2026-09-23,PGM (백금족),백금,Platinum,1825.3,USD/t.oz,1348.0,네이버 금융 (하나은행 고시환율),원/g,79107,55375,63286
2026-09-23,PGM (백금족),팔라듐,Palladium,1312.5,USD/t.oz,1348.0,네이버 금융 (하나은행 고시환율),원/g,56883,39818,45506
2026-09-23,PGM (백금족),로듐,Rhodium,9150.0,USD/t.oz,1348.0,네이버 금융 (하나은행 고시환율),원/g,396554,277588,317243
