날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-21,비철금속,구리,Copper,6.6541,USD/Lbs,1384.1,네이버 금융 (하나은행 고시환율),원/kg,20304,14213,16244
2026-09-21,철·스크랩,철·철스크랩,Steel Scrap,404.0,USD/T,1384.1,네이버 금융 (하나은행 고시환율),원/kg,559,391,447
2026-09-21,비철금속,알루미늄,Aluminum,3296.5,USD/T,1384.1,네이버 금융 (하나은행 고시환율),원/kg,4563,3194,3650
2026-09-21,비철금속,아연,Zinc,3949.1,USD/T,1384.1,네이버 금융 (하나은행 고시환율),원/kg,5466,3826,4373
2026-09-21,비철금속,주석,Tin,53186.0,USD/T,1384.1,네이버 금융 (하나은행 고시환율),원/kg,73615,51530,58892
2026-09-21,비철금속,납,Lead,1930.07996,USD/T,1384.1,네이버 금융 (하나은행 고시환율),원/kg,2671,1870,2137
2026-09-21,귀금속,금,Gold,4358.72,USD/t.oz,1384.1,네이버 금융 (하나은행 고시환율),원/g,193962,135774,155170
2026-09-21,귀금속,은,Silver,66.324,USD/t.oz,1384.1,네이버 금융 (하나은행 고시환율),원/g,2951,2066,2361
2026-09-21,PGM (백금족),백금,Platinum,1800.4,USD/t.oz,1384.1,네이버 금융 (하나은행 고시환율),원/g,80118,56082,64094
2026-09-21,PGM (백금족),팔라듐,Palladium,1320.0,USD/t.oz,1384.1,네이버 금융 (하나은행 고시환율),원/g,58740,41118,46992
2026-09-21,PGM (백금족),로듐,Rhodium,9000.0,USD/t.oz,1384.1,네이버 금융 (하나은행 고시환율),원/g,400499,280349,320399
