날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-12,비철금속,구리,Copper,6.4695,USD/Lbs,1343.8,네이버 금융 (하나은행 고시환율),원/kg,19166,13416,15333
2026-09-12,철·스크랩,철·철스크랩,Steel Scrap,396.0,USD/T,1343.8,네이버 금융 (하나은행 고시환율),원/kg,532,373,426
2026-09-12,비철금속,알루미늄,Aluminum,3256.65,USD/T,1343.8,네이버 금융 (하나은행 고시환율),원/kg,4376,3063,3501
2026-09-12,비철금속,납,Lead,1892.93,USD/T,1343.8,네이버 금융 (하나은행 고시환율),원/kg,2544,1781,2035
2026-09-12,귀금속,금,Gold,4350.36,USD/t.oz,1343.8,네이버 금융 (하나은행 고시환율),원/g,187954,131568,150363
2026-09-12,귀금속,은,Silver,64.2656,USD/t.oz,1343.8,네이버 금융 (하나은행 고시환율),원/g,2777,1944,2221
2026-09-12,PGM (백금족),백금,Platinum,1797.6,USD/t.oz,1343.8,네이버 금융 (하나은행 고시환율),원/g,77664,54365,62131
2026-09-12,PGM (백금족),팔라듐,Palladium,1324.0,USD/t.oz,1343.8,네이버 금융 (하나은행 고시환율),원/g,57202,40042,45762
2026-09-12,PGM (백금족),로듐,Rhodium,9825.0,USD/t.oz,1343.8,네이버 금융 (하나은행 고시환율),원/g,424481,297137,339585
