날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-18,비철금속,구리,Copper,6.5547,USD/Lbs,1384.0,네이버 금융 (하나은행 고시환율),원/kg,20000,14000,16000
2026-09-18,철·스크랩,철·철스크랩,Steel Scrap,403.5,USD/T,1384.0,네이버 금융 (하나은행 고시환율),원/kg,558,391,447
2026-09-18,비철금속,알루미늄,Aluminum,3297.55005,USD/T,1384.0,네이버 금융 (하나은행 고시환율),원/kg,4564,3195,3651
2026-09-18,비철금속,납,Lead,1914.9,USD/T,1384.0,네이버 금융 (하나은행 고시환율),원/kg,2650,1855,2120
2026-09-18,귀금속,금,Gold,4351.82,USD/t.oz,1384.0,네이버 금융 (하나은행 고시환율),원/g,193641,135549,154913
2026-09-18,귀금속,은,Silver,65.756,USD/t.oz,1384.0,네이버 금융 (하나은행 고시환율),원/g,2926,2048,2341
2026-09-18,PGM (백금족),백금,Platinum,1789.4,USD/t.oz,1384.0,네이버 금융 (하나은행 고시환율),원/g,79622,55736,63698
2026-09-18,PGM (백금족),팔라듐,Palladium,1304.0,USD/t.oz,1384.0,네이버 금융 (하나은행 고시환율),원/g,58024,40617,46419
2026-09-18,PGM (백금족),로듐,Rhodium,9150.0,USD/t.oz,1384.0,네이버 금융 (하나은행 고시환율),원/g,407144,285001,325715
