날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-19,비철금속,구리,Copper,6.615,USD/Lbs,1389.0,네이버 금융 (하나은행 고시환율),원/kg,20257,14180,16205
2026-09-19,철·스크랩,철·철스크랩,Steel Scrap,404.0,USD/T,1389.0,네이버 금융 (하나은행 고시환율),원/kg,561,393,449
2026-09-19,비철금속,알루미늄,Aluminum,3296.5,USD/T,1389.0,네이버 금융 (하나은행 고시환율),원/kg,4579,3205,3663
2026-09-19,비철금속,납,Lead,1925.03,USD/T,1389.0,네이버 금융 (하나은행 고시환율),원/kg,2674,1872,2139
2026-09-19,귀금속,금,Gold,4383.45,USD/t.oz,1389.0,네이버 금융 (하나은행 고시환율),원/g,195753,137027,156603
2026-09-19,귀금속,은,Silver,66.2364,USD/t.oz,1389.0,네이버 금융 (하나은행 고시환율),원/g,2958,2071,2366
2026-09-19,PGM (백금족),백금,Platinum,1806.4,USD/t.oz,1389.0,네이버 금융 (하나은행 고시환율),원/g,80669,56468,64535
2026-09-19,PGM (백금족),팔라듐,Palladium,1319.5,USD/t.oz,1389.0,네이버 금융 (하나은행 고시환율),원/g,58925,41248,47140
2026-09-19,PGM (백금족),로듐,Rhodium,9150.0,USD/t.oz,1389.0,네이버 금융 (하나은행 고시환율),원/g,408615,286031,326892
