날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-25,비철금속,구리,Copper,6.6822,USD/Lbs,1366.7,네이버 금융 (하나은행 고시환율),원/kg,20134,14094,16107
2026-09-25,철·스크랩,철·철스크랩,Steel Scrap,404.0,USD/T,1366.7,네이버 금융 (하나은행 고시환율),원/kg,552,387,442
2026-09-25,비철금속,알루미늄,Aluminum,3256.0,USD/T,1366.7,네이버 금융 (하나은행 고시환율),원/kg,4450,3115,3560
2026-09-25,비철금속,아연,Zinc,3973.6,USD/T,1366.7,네이버 금융 (하나은행 고시환율),원/kg,5431,3802,4345
2026-09-25,비철금속,주석,Tin,53898.0,USD/T,1366.7,네이버 금융 (하나은행 고시환율),원/kg,73662,51564,58930
2026-09-25,비철금속,납,Lead,1943.13,USD/T,1366.7,네이버 금융 (하나은행 고시환율),원/kg,2656,1859,2125
2026-09-25,귀금속,금,Gold,4272.81,USD/t.oz,1366.7,네이버 금융 (하나은행 고시환율),원/g,187749,131424,150199
2026-09-25,귀금속,은,Silver,63.647,USD/t.oz,1366.7,네이버 금융 (하나은행 고시환율),원/g,2797,1958,2237
2026-09-25,PGM (백금족),백금,Platinum,1753.7,USD/t.oz,1366.7,네이버 금융 (하나은행 고시환율),원/g,77058,53941,61647
2026-09-25,PGM (백금족),팔라듐,Palladium,1268.0,USD/t.oz,1366.7,네이버 금융 (하나은행 고시환율),원/g,55716,39002,44573
2026-09-25,PGM (백금족),로듐,Rhodium,9450.0,USD/t.oz,1366.7,네이버 금융 (하나은행 고시환율),원/g,415237,290666,332190
