날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-14,비철금속,구리,Copper,6.4051,USD/Lbs,1345.3,네이버 금융 (하나은행 고시환율),원/kg,18997,13298,15197
2026-09-14,철·스크랩,철·철스크랩,Steel Scrap,396.0,USD/T,1345.3,네이버 금융 (하나은행 고시환율),원/kg,533,373,426
2026-09-14,비철금속,알루미늄,Aluminum,3256.6499,USD/T,1345.3,네이버 금융 (하나은행 고시환율),원/kg,4381,3067,3505
2026-09-14,비철금속,납,Lead,1879.4,USD/T,1345.3,네이버 금융 (하나은행 고시환율),원/kg,2528,1770,2023
2026-09-14,귀금속,금,Gold,4348.54,USD/t.oz,1345.3,네이버 금융 (하나은행 고시환율),원/g,188085,131659,150468
2026-09-14,귀금속,은,Silver,64.182,USD/t.oz,1345.3,네이버 금융 (하나은행 고시환율),원/g,2776,1943,2221
2026-09-14,PGM (백금족),백금,Platinum,1803.1,USD/t.oz,1345.3,네이버 금융 (하나은행 고시환율),원/g,77988,54592,62391
2026-09-14,PGM (백금족),팔라듐,Palladium,1315.0,USD/t.oz,1345.3,네이버 금융 (하나은행 고시환율),원/g,56877,39814,45502
2026-09-14,PGM (백금족),로듐,Rhodium,9725.0,USD/t.oz,1345.3,네이버 금융 (하나은행 고시환율),원/g,420630,294441,336504
