날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-15,비철금속,구리,Copper,6.3122,USD/Lbs,1348.8,네이버 금융 (하나은행 고시환율),원/kg,18770,13139,15016
2026-09-15,철·스크랩,철·철스크랩,Steel Scrap,397.5,USD/T,1348.8,네이버 금융 (하나은행 고시환율),원/kg,536,375,429
2026-09-15,비철금속,알루미늄,Aluminum,3250.0,USD/T,1348.8,네이버 금융 (하나은행 고시환율),원/kg,4384,3069,3507
2026-09-15,비철금속,납,Lead,1878.55,USD/T,1348.8,네이버 금융 (하나은행 고시환율),원/kg,2534,1774,2027
2026-09-15,귀금속,금,Gold,4304.33,USD/t.oz,1348.8,네이버 금융 (하나은행 고시환율),원/g,186657,130660,149326
2026-09-15,귀금속,은,Silver,63.372,USD/t.oz,1348.8,네이버 금융 (하나은행 고시환율),원/g,2748,1924,2198
2026-09-15,PGM (백금족),백금,Platinum,1764.4,USD/t.oz,1348.8,네이버 금융 (하나은행 고시환율),원/g,76513,53559,61210
2026-09-15,PGM (백금족),팔라듐,Palladium,1295.5,USD/t.oz,1348.8,네이버 금융 (하나은행 고시환율),원/g,56179,39325,44943
2026-09-15,PGM (백금족),로듐,Rhodium,9550.0,USD/t.oz,1348.8,네이버 금융 (하나은행 고시환율),원/g,414135,289895,331308
