날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-22,비철금속,구리,Copper,6.7211,USD/Lbs,1362.6,네이버 금융 (하나은행 고시환율),원/kg,20190,14133,16152
2026-09-22,철·스크랩,철·철스크랩,Steel Scrap,404.5,USD/T,1362.6,네이버 금융 (하나은행 고시환율),원/kg,551,386,441
2026-09-22,비철금속,알루미늄,Aluminum,3265.8501,USD/T,1362.6,네이버 금융 (하나은행 고시환율),원/kg,4450,3115,3560
2026-09-22,비철금속,아연,Zinc,3934.25,USD/T,1362.6,네이버 금융 (하나은행 고시환율),원/kg,5361,3753,4289
2026-09-22,비철금속,주석,Tin,53705.0,USD/T,1362.6,네이버 금융 (하나은행 고시환율),원/kg,73178,51225,58543
2026-09-22,비철금속,납,Lead,1944.7,USD/T,1362.6,네이버 금융 (하나은행 고시환율),원/kg,2650,1855,2120
2026-09-22,귀금속,금,Gold,4351.13,USD/t.oz,1362.6,네이버 금융 (하나은행 고시환율),원/g,190617,133432,152494
2026-09-22,귀금속,은,Silver,66.231,USD/t.oz,1362.6,네이버 금융 (하나은행 고시환율),원/g,2901,2031,2321
2026-09-22,PGM (백금족),백금,Platinum,1801.9,USD/t.oz,1362.6,네이버 금융 (하나은행 고시환율),원/g,78939,55257,63151
2026-09-22,PGM (백금족),팔라듐,Palladium,1318.0,USD/t.oz,1362.6,네이버 금융 (하나은행 고시환율),원/g,57740,40418,46192
2026-09-22,PGM (백금족),로듐,Rhodium,9000.0,USD/t.oz,1362.6,네이버 금융 (하나은행 고시환율),원/g,394277,275994,315422
