날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-08,비철금속,구리,Copper,6.6898,USD/Lbs,1344.4,네이버 금융 (하나은행 고시환율),원/kg,19828,13880,15862
2026-09-08,철·스크랩,철·철스크랩,Steel Scrap,403.5,USD/T,1344.4,네이버 금융 (하나은행 고시환율),원/kg,542,380,434
2026-09-08,비철금속,알루미늄,Aluminum,3315.35,USD/T,1344.4,네이버 금융 (하나은행 고시환율),원/kg,4457,3120,3566
2026-09-08,비철금속,납,Lead,1901.68,USD/T,1344.4,네이버 금융 (하나은행 고시환율),원/kg,2557,1790,2045
2026-09-08,귀금속,금,Gold,4356.21,USD/t.oz,1344.4,네이버 금융 (하나은행 고시환율),원/g,188290,131803,150632
2026-09-08,귀금속,은,Silver,66.20,USD/t.oz,1344.4,네이버 금융 (하나은행 고시환율),원/g,2861,2003,2289
2026-09-08,PGM (백금족),백금,Platinum,1828.5,USD/t.oz,1344.4,네이버 금융 (하나은행 고시환율),원/g,79034,55324,63227
2026-09-08,PGM (백금족),팔라듐,Palladium,1401.0,USD/t.oz,1344.4,네이버 금융 (하나은행 고시환율),원/g,60556,42389,48445
2026-09-08,PGM (백금족),로듐,Rhodium,9475.0,USD/t.oz,1344.4,네이버 금융 (하나은행 고시환율),원/g,409542,286680,327634
