날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-17,비철금속,구리,Copper,6.4124,USD/Lbs,1381.8,네이버 금융 (하나은행 고시환율),원/kg,19534,13674,15628
2026-09-17,철·스크랩,철·철스크랩,Steel Scrap,406.5,USD/T,1381.8,네이버 금융 (하나은행 고시환율),원/kg,562,393,449
2026-09-17,비철금속,알루미늄,Aluminum,3273.0,USD/T,1381.8,네이버 금융 (하나은행 고시환율),원/kg,4523,3166,3618
2026-09-17,비철금속,납,Lead,1893.23,USD/T,1381.8,네이버 금융 (하나은행 고시환율),원/kg,2616,1831,2093
2026-09-17,귀금속,금,Gold,4309.03,USD/t.oz,1381.8,네이버 금융 (하나은행 고시환율),원/g,191433,134003,153146
2026-09-17,귀금속,은,Silver,63.736,USD/t.oz,1381.8,네이버 금융 (하나은행 고시환율),원/g,2832,1982,2265
2026-09-17,PGM (백금족),백금,Platinum,1780.5,USD/t.oz,1381.8,네이버 금융 (하나은행 고시환율),원/g,79100,55370,63280
2026-09-17,PGM (백금족),팔라듐,Palladium,1304.5,USD/t.oz,1381.8,네이버 금융 (하나은행 고시환율),원/g,57954,40568,46363
2026-09-17,PGM (백금족),로듐,Rhodium,9300.0,USD/t.oz,1381.8,네이버 금융 (하나은행 고시환율),원/g,413161,289213,330529
