날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-10,비철금속,구리,Copper,6.7759,USD/Lbs,1340.4,네이버 금융 (하나은행 고시환율),원/kg,20023,14016,16019
2026-09-10,철·스크랩,철·철스크랩,Steel Scrap,396.5,USD/T,1340.4,네이버 금융 (하나은행 고시환율),원/kg,531,372,425
2026-09-10,비철금속,알루미늄,Aluminum,3341.95,USD/T,1340.4,네이버 금융 (하나은행 고시환율),원/kg,4480,3136,3584
2026-09-10,비철금속,납,Lead,1912.93,USD/T,1340.4,네이버 금융 (하나은행 고시환율),원/kg,2564,1795,2051
2026-09-10,귀금속,금,Gold,4413.28,USD/t.oz,1340.4,네이버 금융 (하나은행 고시환율),원/g,190190,133133,152152
2026-09-10,귀금속,은,Silver,67.328,USD/t.oz,1340.4,네이버 금융 (하나은행 고시환율),원/g,2901,2031,2321
2026-09-10,PGM (백금족),백금,Platinum,1881.9,USD/t.oz,1340.4,네이버 금융 (하나은행 고시환율),원/g,81100,56770,64880
2026-09-10,PGM (백금족),팔라듐,Palladium,1364.0,USD/t.oz,1340.4,네이버 금융 (하나은행 고시환율),원/g,58781,41147,47025
2026-09-10,PGM (백금족),로듐,Rhodium,9675.0,USD/t.oz,1340.4,네이버 금융 (하나은행 고시환율),원/g,416943,291860,333554
