날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-11,비철금속,구리,Copper,6.457,USD/Lbs,1348.8,네이버 금융 (하나은행 고시환율),원/kg,19201,13440,15360
2026-09-11,철·스크랩,철·철스크랩,Steel Scrap,392.5,USD/T,1348.8,네이버 금융 (하나은행 고시환율),원/kg,529,371,424
2026-09-11,비철금속,알루미늄,Aluminum,3279.6,USD/T,1348.8,네이버 금융 (하나은행 고시환율),원/kg,4424,3096,3539
2026-09-11,비철금속,납,Lead,1897.7,USD/T,1348.8,네이버 금융 (하나은행 고시환율),원/kg,2560,1792,2048
2026-09-11,귀금속,금,Gold,4324.8,USD/t.oz,1348.8,네이버 금융 (하나은행 고시환율),원/g,187545,131281,150036
2026-09-11,귀금속,은,Silver,63.286,USD/t.oz,1348.8,네이버 금융 (하나은행 고시환율),원/g,2744,1921,2196
2026-09-11,PGM (백금족),백금,Platinum,1780.7,USD/t.oz,1348.8,네이버 금융 (하나은행 고시환율),원/g,77220,54054,61776
2026-09-11,PGM (백금족),팔라듐,Palladium,1288.5,USD/t.oz,1348.8,네이버 금융 (하나은행 고시환율),원/g,55876,39113,44701
2026-09-11,PGM (백금족),로듐,Rhodium,9825.0,USD/t.oz,1348.8,네이버 금융 (하나은행 고시환율),원/g,426060,298242,340848
